Time,Speed,Date Route,Analysis Type,Accelerometer Location,Route,Exceedence Instance,Series_y,Date Exc,Speed Bracket,Nearest Station,Series,Run
217.66,101.9077368,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
217.69,101.9609872,23/10/2015,GPS,GPS,,,,,GPS,,1,1
217.75,102.0557535,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
217.82,102.142362,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
219.88,102.8361638,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
220.79,103.1165617,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
221.19,102.9965315,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
221.39,103.1692425,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
222.49,103.8471646,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
222.89,103.830746,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
222.96,103.8187533,23/10/2015,GPS,GPS,,,,,GPS,,1,1
223.2,103.7271561,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
223.51,103.3984124,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
223.71,103.1599727,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
223.91,103.0703871,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
224.41,103.2832121,23/10/2015,Caution Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
224.69,103.3224578,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
224.69,103.3224578,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
225.61,102.9491014,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
226.1,103.1988769,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
227.03,102.8274999,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
227.12,102.8079841,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
227.13,102.8057841,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
227.31,102.7580056,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
227.32,102.75485,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
227.64,102.6874795,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
228.22,102.9137857,23/10/2015,GPS,GPS,,,,,GPS,,1,1
228.41,102.7889427,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
228.42,102.7793249,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
228.45,102.7496814,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
228.7,102.5389741,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
228.87,102.5085375,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
228.88,102.5095708,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
229.27,102.5407231,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
230.04,102.3356005,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
230.84,102.1584128,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
231.13,102.4502445,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
231.47,102.3572772,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
231.48,102.3428502,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
231.7,101.9727107,23/10/2015,Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
232.23,101.879822,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
232.41,101.9908197,23/10/2015,Caution Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
232.43,101.9988131,23/10/2015,Average Peak to Peak,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
232.82,102.0075517,23/10/2015,Caution Average Peak to Peak,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
232.82,102.0075517,23/10/2015,Caution Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
233.48,101.9671134,23/10/2015,GPS,GPS,,,,,GPS,,1,1
233.7,101.769424,23/10/2015,Base Acceleration,Bogie 2,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
233.99,101.5275895,23/10/2015,Base Acceleration,Bogie 1,Werribee,1,2,23/10/2015,100-110,Hoppers Crossing,2,1
